,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
290,Kevin Gomis Nice,33, D(C),,7(2),713,-,0.2,29.7,79.4,-,3.3,-,6.66
291,Bertrand Laquait Evian,45, GK,,16,1440,-,-,17.9,46.7,-,5.6,-,6.66
292,Jordan Amavi Nice,28, D(L),M(L),9(10),1014,-,0.2,22.9,75.2,0.2,1.1,-,6.65
293,Nathan Sinkala Sochaux,31, DMC,,15,1275,-,0.4,36.5,77.4,0.1,3.9,-,6.65
294,Julien Féret Rennes,40, M(C),,11(5),1038,-,1.1,33.3,79.4,0.5,2.8,0.1,6.65
295,Guy Ndy Assembé Guingamp,36, GK,,19,1710,-,0.1,15.7,43.8,-,3.8,-,6.65
296,Johan Cavalli AC Ajaccio,41, M(C),FW,18(1),1352,6,1.8,31.6,68.3,1.2,1.9,0.3,6.65
297,Rafaël Dias Sochaux,31, DMC,,5(2),428,2,1,32.9,74.3,1.1,2.7,-,6.65
298,Laurent Bonnart AC Ajaccio,42, D(L),,21(2),1796,1,0.3,25.6,74.2,0.4,0.8,-,6.65
299,Sanjin Prcic Sochaux,28, M(C),,20(9),1799,-,0.5,33.6,75.5,0.2,2.4,-,6.64
