,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
22,Giandomenico Mesto Napoli,40, D(R),M(R),10(1),824,4.5,1.8,1.5,0.1,2.8,1.6,0.3,-,7.35
23,Marco Parolo Parma Calcio 1913,37, M(C),,36,3195,3.6,1.6,1.9,0.1,1.8,1.1,0.4,-,7.34
24,Antonio Candreva Lazio,35, M(CLR),,35(2),3082,0.8,0.6,0.5,-,0.2,0.6,0.1,-,7.34
25,Bryan Cristante AC Milan,27, D(C),M(C),2(1),150,1.7,-,1.7,-,2.3,-,-,-,7.33
26,Dejan Stojanovic Bologna,29, GK,,1,90,-,-,-,-,-,-,-,-,7.33
27,Allan Udinese,31, DMC,,30(3),2645,4.1,2.1,1.3,0.1,1,2.3,0.3,-,7.33
28,Stefan Savic Fiorentina,31, D(C),,31,2790,1.4,3,0.9,0.8,6.2,0.7,0.5,-,7.32
29,Francesco Totti Roma,46, AM(CL),FW,20(6),1675,0.5,0.3,1,-,-,0.3,-,-,7.32
30,Radja Nainggolan Roma,34, M(C),,16(1),1418,2.3,1.9,1.7,0.1,0.7,1.0,0.1,-,7.32
31,Luca Antei Sassuolo,30, D(C),,22,1933,4.0,3.8,2.0,1,5.8,0.9,0.6,-,7.32
32,Juan Iturbe Verona,29, AM(LR),,29(4),2508,1.7,0.6,0.9,-,0.4,1.2,-,-,7.31
33,Castán Roma,36, D(C),,36,3148,2.6,2.5,1.4,0.5,4.9,0.5,0.7,-,7.31
34,Mario Balotelli AC Milan,32, FW,,25(5),2294,0.4,0.2,2.5,-,0.8,0.2,0.1,-,7.31
35,Luca Cigarini Atalanta,36, M(C),,28(5),2500,2.3,1.6,1.5,-,1.1,1.7,0.5,-,7.31
36,Juan Camilo Zuñiga Napoli,36, D(LR),M(L),4(2),409,1.5,1.3,0.3,-,1.2,0.3,-,-,7.3
37,Kwadwo Asamoah Juventus,33, D(L),M(CL),32(2),2761,2.0,1.6,0.9,-,1.4,0.6,0.1,-,7.3
38,Luca Toni Verona,45, FW,,34,3010,0.4,0.3,2.2,-,0.9,0.2,0.1,-,7.3
39,Miguel Britos Napoli,37, D(CL),,15(1),1315,2.1,2.3,1.3,0.7,5.5,0.4,0.8,-,7.3
40,Radja Nainggolan Cagliari,34, M(C),,17,1528,3.8,1.7,1.6,0.1,1.4,1.5,0.1,-,7.29
41,Esteban Cambiasso Inter,42, D(C),M(C),32,2713,3.3,1.8,0.9,-,2,1.3,0.1,-,7.29
42,Riccardo Montolivo AC Milan,37, M(C),,27(2),2413,2.7,1.9,1.0,0.1,1,1.4,0.3,-,7.29
43,Alessio Cerci Torino,35, M(R),FW,35(2),3018,0.5,0.1,0.8,-,-,0.2,-,-,7.29
44,Jorginho Verona,30, DMC,,18,1611,2.4,2.4,1.1,-,0.9,2.2,0.3,-,7.28
45,Adil Rami AC Milan,36, D(C),,16(2),1484,1.6,1.6,1.4,0.6,5.3,0.3,0.7,-,7.28
46,Gonzalo Rodríguez Fiorentina,38, D(C),,33,2942,1.9,2.6,1.5,0.8,6.3,0.8,0.8,-,7.27
