,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
47,Ellyes Skhiri Montpellier,27, DMC,,35,3052,1,0.9,44.8,86.2,-,3.5,-,7.13
48,Max-Alain Gradel Toulouse,34, M(CLR),FW,27(2),2418,1,1.6,26.2,66.3,1.7,1.2,-,7.13
49,Gaël Kakuta Amiens,31, M(CLR),FW,36,3092,6,1.8,33.9,69.2,1.2,1.3,0.1,7.12
50,Layvin Kurzawa PSG,30, D(L),M(L),19(1),1707,1,0.6,46.3,86.4,0.3,0.4,0.1,7.12
51,Léo Dubois Nantes,28, D(LR),M(R),34,3025,4,1.7,40.4,75.4,1.8,2.9,-,7.12
52,Kamil Glik Monaco,34, D(C),,36,3240,3,0.2,46.7,81.1,-,4.2,-,7.12
53,Hamari Traoré Rennes,30, D(R),M(R),30,2640,1,0.6,45.5,79.5,0.4,2.6,-,7.12
54,Kevin Malcuit Lille,31, D(R),M(R),21(2),1817,6,1.1,42.5,81.0,0.9,1.6,-,7.11
55,Youssouf Sabaly Bordeaux,29, D(LR),M(R),35,3094,5,1.0,44.5,82.3,0.9,1.7,0.1,7.11
56,Adrien Rabiot PSG,27, DMC,M(L),27(6),2366,5,0.8,66.5,92.2,0.2,2.4,0.1,7.11
57,João Moutinho Monaco,36, M(C),,31(2),2801,6,1.7,57.4,86.3,0.8,3.8,0.2,7.11
58,Jérôme Roussillon Montpellier,29, D(L),M(L),22,1887,3,1.2,32.3,79.2,0.9,1.5,-,7.11
59,Lucas Ocampos Marseille,28, M(CLR),FW,23(8),2038,3,0.7,19.3,77.9,0.2,0.4,-,7.1
60,André-Frank Zambo Anguissa Marseille,26, M(C),,22(11),2092,-,0.8,47.2,87.8,0.1,1.0,-,7.1
61,Thomas Lemar Monaco,26, AM(CLR),,27(3),2383,8,1.8,37.2,84.8,1.5,2.1,0.1,7.1
62,Ronny Rodelin Caen,32, AM(CLR),FW,36(1),3167,6,1.6,34.3,73.1,0.3,2.3,0.1,7.09
63,Rafael Lyon,32, D(LR),M(R),22(2),1819,2,0.9,40.4,81.5,0.6,1.0,-,7.09
64,Thomas Meunier PSG,31, D(R),M(R),16(8),1573,4,0.9,39.5,84.8,0.8,0.9,-,7.09
65,Thiago Silva PSG,38, D(C),,24(1),2117,-,0.2,68.5,96.1,-,4.1,-,7.08
66,Marçal Lyon,33, D(CL),M(L),14(4),1294,3,0.9,46.5,83.9,0.3,2.1,-,7.08
