,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
203,Frederik Rønnow Union Berlin,30, GK,,7,630,-,-,32.6,61.4,-,8.0,-,6.6
204,Paulo Otávio Wolfsburg,27, D(L),M(L),5(2),365,1,0.4,19.0,78.9,0.4,2.1,-,6.6
205,Eduard Löwen Bochum,25, D(C),M(C),14(11),1346,2,1.5,21.8,72.1,1.2,1.7,-,6.6
206,Simon Zoller Bochum,31, AM(LR),FW,6(4),595,2,0.7,13.7,78.1,0.4,0.3,-,6.6
207,Leandro Barreiro Mainz,22, DMC,,20(11),1790,2,0.5,16.8,71.6,-,0.4,0.1,6.6
208,Genki Haraguchi Union Berlin,31, M(CLR),,23(7),1770,6,0.8,17.7,73.8,0.1,0.7,-,6.6
209,Martin Hinteregger Eintracht Frankfurt,29, D(C),,25(2),2222,-,0.3,51.4,76.9,-,3.2,0.1,6.6
210,Josip Stanisic Bayern,22, D(R),,6(7),646,-,0.2,39.8,87.0,0.2,1.4,-,6.59
211,Frederik Winther Augsburg,21, Defender,,3(1),327,-,-,39.3,75.2,-,3.8,-,6.59
212,Konstantinos Stafylidis Bochum,28, D(LR),DMC,14(9),1299,1,0.4,21.3,73.4,0.7,2.2,-,6.59
213,Sebastiaan Bornauw Wolfsburg,23, D(C),,23(4),2008,-,0.1,43.3,85.9,-,2.1,-,6.59
214,Dejan Ljubicic FC Koln,24, M(CR),,22(8),1975,1,0.9,21.7,73.8,0.4,0.9,-,6.59
215,Michaël Cuisance Bayern,23, AM(C),,0(1),12,-,1,11.0,90.9,-,1,1,6.59
216,Niklas Stark Hertha Berlin,27, D(C),DMC,22(4),2028,-,0.2,38.5,82.4,-,2.2,-,6.59
217,Emil Forsberg RBL,30, AM(CLR),FW,20(11),1709,2,0.8,23.3,84.3,0.4,0.4,0.2,6.58
218,Jessic Ngankam Greuther Fuerth,22, FW,,4(2),342,1,0.2,7.2,58.1,-,-,-,6.58
219,Yannick Gerhardt Wolfsburg,28, D(L),M(CL),17(10),1577,3,0.4,26.9,75.1,0.2,1,-,6.58
220,Kevin Kampl RBL,31, M(CLR),,25(2),1913,1,0.6,55.3,91.4,0.1,1.7,0.1,6.58
221,Pavel Kaderábek Hoffenheim,30, D(R),M(LR),14(5),1202,2,1.1,27.2,72.3,0.7,0.9,-,6.58
222,Kevin Schade Freiburg,20, M(R),,7(14),826,1,0.3,7.9,56.4,0.1,-,-,6.58
223,Benno Schmitz FC Koln,27, D(CLR),,29(2),2433,5,1.1,39.4,68.5,0.8,2.4,-,6.58
224,Dominik Kohr Mainz,28, DMC,,19(3),1626,3,0.5,37.9,74.3,-,1.4,0.1,6.58
225,Péter Gulácsi RBL,32, GK,,33,2967,-,-,30.7,77.9,-,5.1,-,6.58
