,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
40,Marcell Jansen Hamburg,37, D(L),M(L),20(1),1774,3,1.1,29.5,66.3,0.9,0.6,-,7.38
41,Dante Bayern,39, D(C),,27(2),2420,1,0.1,75.5,91.4,-,8.7,0.1,7.37
42,Thomas Müller Bayern,33, M(CLR),FW,25(6),2173,10,2.0,32.4,78.6,0.6,0.8,0.1,7.36
43,Luiz Gustavo Wolfsburg,35, D(C),M(C),29,2543,2,0.7,48.2,86.6,0.1,5.1,-,7.35
44,Toni Kroos Bayern,32, M(C),,24(5),2072,4,1.3,75.6,91.9,0.9,8.6,0.1,7.34
45,Sebastian Prödl Werder Bremen,35, D(C),,26(1),2305,2,0.2,33.8,73.4,-,4.5,-,7.34
46,Oscar Wendt Borussia M.Gladbach,37, D(L),M(L),16(2),1475,1,0.7,46.8,84.3,0.4,2.2,-,7.34
47,Eric Choupo-Moting Mainz,33, M(CLR),FW,19(13),2046,3,0.8,22.1,78.5,0.1,1.3,0.1,7.33
48,Sidney Sam Leverkusen,34, M(CLR),,16(6),1396,7,2.0,20.6,80.2,0.8,1.3,-,7.33
49,Tolga Cigerci Hertha Berlin,30, M(CLR),,18(1),1495,3,1.6,34.4,74.3,0.7,2.5,0.1,7.32
50,Bastian Schweinsteiger Bayern,38, D(C),M(C),22(1),1833,4,1,85.0,89.9,0.2,6.6,-,7.32
51,Martin Stranzl Borussia M.Gladbach,42, D(C),,30,2673,-,0.2,59.4,89.3,-,6.1,0.1,7.32
52,Christopher Avevor Hannover,30, D(C),DMC,1,90,-,-,31.0,83.9,-,1.0,-,7.32
53,Mame Diouf Hannover,34, M(LR),FW,18(1),1474,3,0.8,18.4,65.7,0.1,0.3,-,7.32
54,Tony Jantschke Borussia M.Gladbach,32, D(CR),DMC,31,2746,1,0.4,57.0,90.1,0.1,5.8,-,7.31
55,Hakan Çalhanoglu Hamburg,28, M(CLR),FW,28(4),2451,4,2.2,31.8,71.5,1.4,2.0,-,7.31
56,Emre Can Leverkusen,28, D(CLR),DMC,24(5),2204,3,0.6,36.2,78.0,0.3,2.7,0.1,7.31
57,Emir Spahic Leverkusen,42, D(C),,26(1),2345,2,0.2,51.4,84.9,-,5.2,-,7.31
58,Aaron Hunt Werder Bremen,36, M(CLR),FW,31,2675,6,2.2,34.5,76.5,1.8,2.6,0.1,7.31
59,Lars Bender Leverkusen,33, D(CR),M(CR),28(1),2352,1,0.7,39.1,77.6,0.3,2.0,-,7.3
60,Kevin-Prince Boateng Schalke,35, M(CLR),FW,28,2451,2,1.1,42.3,80.0,-,3.9,-,7.3
61,Benedikt Röcker Stuttgart,32, D(C),,1,90,-,-,70.0,87.1,-,7.0,-,7.3
